totalRuntime,timeSliceValue,contextSwitchValue,
4661,5,1,
processID,timeTaken,timeCompleted,
27, 4, 134,
30, 5, 149,
39, 1, 190,
51, 3, 248,
58, 2, 280,
21, 495, 595,
75, 478, 838,
81, 477, 867,
100, 473, 958,
36, 949, 1123,
94, 930, 1385,
11, 1411, 1461,
57, 1388, 1661,
2, 1855, 1860,
17, 1850, 1930,
28, 1839, 1973,
43, 2248, 2453,
55, 2243, 2506,
84, 2226, 2631,
99, 2218, 2698,
35, 2665, 2834,
40, 2659, 2849,
52, 2648, 2896,
63, 2635, 2935,
82, 2623, 3018,
18, 3078, 3163,
20, 3074, 3169,
34, 3054, 3218,
44, 3033, 3243,
47, 3031, 3256,
65, 3003, 3313,
79, 2995, 3375,
83, 2984, 3384,
4, 3449, 3464,
22, 3421, 3526,
24, 3419, 3534,
25, 3418, 3538,
50, 3364, 3604,
68, 3334, 3659,
73, 3332, 3682,
74, 3331, 3686,
87, 3297, 3717,
95, 3289, 3749,
96, 3286, 3751,
1, 3765, 3765,
5, 3752, 3772,
15, 3745, 3815,
32, 3695, 3849,
41, 3672, 3867,
59, 3628, 3908,
70, 3613, 3948,
72, 3609, 3954,
76, 3594, 3959,
85, 3566, 3976,
86, 3563, 3978,
90, 3554, 3989,
92, 3554, 3999,
7, 3995, 4025,
23, 3960, 4070,
33, 3928, 4087,
37, 3911, 4090,
45, 3889, 4104,
48, 3884, 4114,
53, 3871, 4124,
54, 3867, 4125,
64, 3844, 4149,
80, 3796, 4181,
97, 3734, 4204,
8, 4185, 4220,
26, 4132, 4257,
61, 4008, 4298,
67, 3991, 4311,
71, 3981, 4321,
77, 3953, 4323,
88, 3908, 4333,
89, 3906, 4336,
91, 3900, 4340,
98, 3874, 4349,
6, 4331, 4356,
9, 4319, 4359,
10, 4315, 4360,
19, 4294, 4384,
60, 4139, 4424,
93, 3998, 4448,
3, 4440, 4450,
12, 4400, 4455,
42, 4286, 4486,
62, 4209, 4504,
66, 4193, 4508,
14, 4459, 4524,
16, 4453, 4528,
38, 4356, 4540,
13, 4506, 4566,
31, 4426, 4575,
78, 4225, 4600,
49, 4378, 4613,
56, 4370, 4638,
69, 4325, 4655,
29, 4517, 4656,
46, 4441, 4661,
