totalRuntime,timeSliceValue,contextSwitchValue,
4661,100,1,
processID,timeTaken,timeCompleted,
1, 1, 1,
2, 2, 3,
3, 3, 6,
4, 4, 10,
5, 5, 15,
6, 6, 21,
7, 8, 29,
8, 9, 38,
9, 10, 48,
10, 12, 60,
11, 15, 75,
12, 16, 91,
13, 20, 111,
14, 23, 134,
15, 24, 158,
16, 25, 183,
17, 27, 210,
18, 28, 238,
19, 30, 268,
20, 30, 298,
21, 31, 329,
22, 32, 361,
23, 33, 394,
24, 34, 428,
25, 35, 463,
26, 36, 499,
27, 37, 536,
28, 37, 573,
29, 38, 611,
30, 39, 650,
31, 39, 689,
32, 40, 729,
33, 40, 769,
34, 41, 810,
35, 41, 851,
36, 42, 893,
37, 42, 935,
38, 42, 977,
39, 43, 1020,
40, 43, 1063,
41, 44, 1107,
42, 44, 1151,
43, 45, 1196,
44, 45, 1241,
45, 46, 1287,
46, 46, 1333,
47, 46, 1379,
48, 47, 1426,
49, 47, 1473,
50, 47, 1520,
51, 48, 1568,
52, 48, 1616,
53, 49, 1665,
54, 49, 1714,
55, 50, 1764,
56, 50, 1814,
57, 50, 1864,
58, 51, 1915,
59, 51, 1966,
60, 52, 2018,
61, 52, 2070,
62, 53, 2123,
63, 53, 2176,
64, 54, 2230,
65, 54, 2284,
66, 55, 2339,
67, 55, 2394,
68, 55, 2449,
69, 56, 2505,
70, 56, 2561,
71, 57, 2618,
72, 57, 2675,
73, 58, 2733,
74, 58, 2791,
75, 59, 2850,
76, 59, 2909,
77, 60, 2969,
78, 60, 3029,
79, 61, 3090,
80, 62, 3152,
81, 63, 3215,
82, 64, 3279,
83, 64, 3343,
84, 65, 3408,
85, 66, 3474,
86, 67, 3541,
87, 68, 3609,
88, 69, 3678,
89, 70, 3748,
90, 71, 3819,
91, 72, 3891,
92, 74, 3965,
93, 76, 4041,
94, 79, 4120,
95, 80, 4200,
96, 83, 4283,
97, 90, 4373,
98, 92, 4465,
99, 96, 4561,
100, 100, 4661,
