totalRuntime,timeSliceValue,contextSwitchValue,
4796,25,1,
processID,timeTaken,timeCompleted,
2, 24, 50,
11, 16, 274,
17, 25, 429,
21, 10, 517,
27, 4, 651,
28, 23, 674,
30, 5, 705,
36, 15, 850,
39, 1, 903,
51, 3, 1192,
57, 20, 1342,
58, 2, 1344,
75, 8, 1768,
81, 9, 1907,
94, 12, 2231,
100, 6, 2367,
1, 2391, 2391,
4, 2361, 2437,
5, 2357, 2459,
15, 2338, 2690,
18, 2302, 2731,
20, 2287, 2768,
22, 2268, 2785,
24, 2260, 2829,
25, 2253, 2848,
32, 2219, 2950,
34, 2207, 2990,
35, 2187, 2996,
40, 2155, 3058,
41, 2152, 3081,
43, 2131, 3112,
44, 2120, 3127,
47, 2107, 3192,
50, 2097, 3260,
52, 2075, 3267,
55, 2052, 3322,
59, 2025, 3369,
63, 2008, 3456,
65, 1994, 3494,
68, 1988, 3566,
70, 1987, 3617,
72, 1982, 3664,
73, 1974, 3682,
74, 1967, 3701,
76, 1958, 3726,
79, 1944, 3790,
82, 1917, 3824,
83, 1905, 3838,
84, 1884, 3843,
85, 1880, 3865,
86, 1876, 3887,
87, 1866, 3903,
90, 1861, 3976,
92, 1860, 4027,
95, 1839, 4070,
96, 1830, 4087,
99, 1806, 4141,
3, 4108, 4158,
6, 4042, 4170,
7, 4017, 4171,
8, 3997, 4177,
9, 3984, 4190,
10, 3969, 4201,
12, 3947, 4221,
14, 3942, 4268,
16, 3914, 4292,
19, 3851, 4306,
23, 3768, 4311,
26, 3697, 4318,
33, 3615, 4372,
37, 3525, 4375,
38, 3521, 4397,
42, 3458, 4413,
45, 3384, 4417,
48, 3337, 4448,
53, 3261, 4479,
54, 3236, 4480,
60, 3151, 4521,
61, 3131, 4527,
62, 3123, 4545,
64, 3075, 4549,
66, 3042, 4568,
67, 3024, 4576,
71, 2956, 4612,
77, 2825, 4619,
80, 2775, 4647,
88, 2594, 4657,
89, 2576, 4665,
91, 2533, 4674,
93, 2495, 4688,
97, 2408, 4691,
98, 2391, 4700,
13, 4401, 4701,
29, 4048, 4722,
31, 4021, 4726,
46, 3692, 4751,
49, 3622, 4759,
56, 3478, 4774,
69, 3187, 4791,
78, 2976, 4796,
