totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
1698,1010,3,2,344,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,TAT,NTAT,
17,5,54,22,11,54.00,10.80,
3,27,214,2,43,214.00,7.93,
10,42,324,12,65,324.00,7.71,
16,54,389,17,78,389.00,7.20,
25,52,392,27,79,392.00,7.54,
4,56,396,7,80,396.00,7.07,
19,1,414,413,84,414.00,414.00,
9,8,463,408,94,463.00,57.88,
24,40,691,421,140,691.00,17.28,
8,47,715,403,145,715.00,15.21,
6,50,724,398,147,724.00,14.48,
21,80,778,416,158,778.00,9.73,
12,2,797,795,162,797.00,398.50,
18,10,895,804,182,895.00,89.50,
15,36,1095,799,222,1095.00,30.42,
22,45,1160,809,235,1160.00,25.78,
2,49,1178,780,239,1178.00,24.04,
5,60,1213,785,246,1213.00,20.22,
11,75,1243,790,252,1243.00,16.57,
14,3,1263,1260,256,1263.00,421.00,
23,24,1448,1270,293,1448.00,60.33,
1,32,1492,1245,302,1492.00,46.63,
7,48,1572,1250,318,1572.00,32.75,
13,64,1635,1255,331,1635.00,25.55,
20,100,1698,1265,344,1698.00,16.98,
