totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
1698,1010,3,2,344,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,TAT,NTAT,
12,2,59,57,12,59.00,29.50,
14,3,69,66,14,69.00,23.00,
19,1,92,91,19,92.00,92.00,
17,5,196,81,40,196.00,39.20,
9,8,275,42,56,275.00,34.38,
18,10,403,86,82,403.00,40.30,
23,24,803,109,162,803.00,33.46,
3,27,828,12,167,828.00,30.67,
1,32,992,2,200,992.00,31.00,
15,36,1122,71,226,1122.00,31.17,
10,42,1262,47,254,1262.00,30.05,
24,40,1295,114,261,1295.00,32.38,
22,45,1360,104,274,1360.00,30.22,
7,48,1390,32,280,1390.00,28.96,
8,47,1394,37,281,1394.00,29.66,
2,49,1427,7,288,1427.00,29.12,
6,50,1441,27,291,1441.00,28.82,
16,54,1496,76,302,1496.00,27.70,
25,52,1509,119,305,1509.00,29.02,
4,56,1513,17,306,1513.00,27.02,
5,60,1543,22,312,1543.00,25.72,
13,64,1591,61,322,1591.00,24.86,
11,75,1636,52,331,1636.00,21.81,
21,80,1665,99,337,1665.00,20.81,
20,100,1698,94,344,1698.00,16.98,
