totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
3030,1010,1,2,1010,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,TAT,NTAT,
19,1,3,2,1,3.00,3.00,
12,2,9,5,3,9.00,4.50,
14,3,18,11,6,18.00,6.00,
17,5,33,20,11,33.00,6.60,
9,8,57,35,19,57.00,7.13,
18,10,87,59,29,87.00,8.70,
23,24,159,89,53,159.00,6.63,
3,27,240,161,80,240.00,8.89,
1,32,336,242,112,336.00,10.50,
15,36,444,338,148,444.00,12.33,
24,40,564,446,188,564.00,14.10,
10,42,690,566,230,690.00,16.43,
22,45,825,692,275,825.00,18.33,
8,47,966,827,322,966.00,20.55,
7,48,1110,968,370,1110.00,23.13,
2,49,1257,1112,419,1257.00,25.65,
6,50,1407,1259,469,1407.00,28.14,
25,52,1563,1409,521,1563.00,30.06,
16,54,1725,1565,575,1725.00,31.94,
4,56,1893,1727,631,1893.00,33.80,
5,60,2073,1895,691,2073.00,34.55,
13,64,2265,2075,755,2265.00,35.39,
11,75,2490,2267,830,2490.00,33.20,
21,80,2730,2492,910,2730.00,34.13,
20,100,3030,2732,1010,3030.00,30.30,
