totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
1430,1010,5,2,210,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,
17,5,35,30,5,
3,27,186,2,27,
10,42,281,16,41,
16,54,329,23,48,
25,52,333,37,49,
4,56,336,9,50,
19,1,360,359,54,
9,8,393,352,59,
24,40,575,369,85,
6,50,603,338,89,
8,47,607,345,90,
21,80,656,362,97,
12,2,681,679,101,
18,10,737,690,109,
15,36,943,683,139,
22,45,978,697,144,
2,49,984,658,145,
5,60,1019,665,150,
11,75,1047,672,154,
14,3,1073,1070,158,
23,24,1226,1082,180,
1,32,1258,1049,185,
7,48,1326,1056,195,
13,64,1374,1063,202,
20,100,1430,1075,210,
